Array.Data.File,Ids,description,type,sampleName
GSM441048.CEL.gz,GSM441048,Skeletal muscle 10 (set B),ControlSkeletal,ControlSkeletal5
GSM441049.CEL.gz,GSM441049,Skeletal muscle (vastus lateralis) 3 (set B),ControlVastus,ControlVastus1
GSM441050.CEL.gz,GSM441050,Skeletal muscle (vastus lateralis) 2 (set B),ControlVastus,ControlVastus2
GSM441051.CEL.gz,GSM441051,Skeletal muscle (vastus lateralis) 6 (set B),ControlVastus,ControlVastus3
GSM441052.CEL.gz,GSM441052,Skeletal muscle (vastus lateralis) 7 (set B),ControlVastus,ControlVastus4
GSM441053.CEL.gz,GSM441053,Skeletal muscle (vastus lateralis) 8 (set B),ControlVastus,ControlVastus5
GSM441054.CEL.gz,GSM441054,Skeletal muscle (vastus lateralis) 9 (set B),ControlVastus,ControlVastus6
GSM441055.CEL.gz,GSM441055,Skeletal muscle (vastus lateralis) 10 (set B),ControlVastus,ControlVastus7
GSM441056.CEL.gz,GSM441056,Skeletal muscle (vastus lateralis) 11 (set B),ControlVastus,ControlVastus8
GSM441057.CEL.gz,GSM441057,Skeletal muscle (vastus lateralis) 12 (set B),ControlVastus,ControlVastus9
GSM441058.CEL.gz,GSM441058,Skeletal muscle (vastus lateralis) 13 (set B),ControlVastus,ControlVastus10
GSM441059.CEL.gz,GSM441059,Skeletal muscle (vastus lateralis) 15 (set B),ControlVastus,ControlVastus11
GSM441060.CEL.gz,GSM441060,Skeletal muscle (vastus lateralis) 17 (set B),ControlVastus,ControlVastus12
GSM441061.CEL.gz,GSM441061,Skeletal muscle (vastus lateralis) 18 (set B),ControlVastus,ControlVastus13
